Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Attainment,Median Rent,state,congressional district,Year,Male DNW %,Female DNW %,DNW Delta
"Congressional District 1 (116th Congress), Alabama",53606.0,722794.0,40.3,29688.0,109032.0,447518.0,301800.0,77217.0,217406.0,55953.0,33551.0,707.0,01,01,2021,25.73664020312227,25.58548707753479,-0.15115312558748073
"Congressional District 2 (116th Congress), Alabama",52194.0,689681.0,39.0,28319.0,115310.0,435275.0,287843.0,76285.0,213201.0,54707.0,31270.0,619.0,01,02,2021,25.65982335917749,26.502294653682736,0.8424712945052448
"Congressional District 3 (116th Congress), Alabama",53090.0,731482.0,38.8,28451.0,121511.0,468161.0,304646.0,77313.0,230635.0,57921.0,35868.0,590.0,01,03,2021,25.11370780670757,25.377979687900055,0.2642718811924851
"Congressional District 4 (116th Congress), Alabama",50931.0,702255.0,40.9,27056.0,109196.0,431360.0,285978.0,76826.0,216170.0,50766.0,24306.0,469.0,01,04,2021,23.484294768006663,26.864304247179852,3.3800094791731894
"Congressional District 5 (116th Congress), Alabama",63180.0,751690.0,39.8,35350.0,90719.0,483297.0,310448.0,75739.0,241259.0,48404.0,52340.0,643.0,01,05,2021,20.06308572944429,24.396678348708964,4.3335926192646745
"Congressional District 6 (116th Congress), Alabama",73619.0,731505.0,39.5,39473.0,68710.0,462766.0,302796.0,65063.0,226653.0,42317.0,47571.0,877.0,01,06,2021,18.67039042059889,21.487404060819827,2.8170136402209387
"Congressional District 7 (116th Congress), Alabama",40677.0,668268.0,36.5,23898.0,155341.0,432695.0,290274.0,76336.0,204251.0,61294.0,26134.0,609.0,01,07,2021,30.009155401931938,26.297911628323583,-3.7112437736083557
"Congressional District (at Large) (116th Congress), Alaska",80287.0,735951.0,35.0,39236.0,75016.0,481977.0,271261.0,54983.0,255877.0,43700.0,39503.0,1153.0,02,00,2021,17.078518194288662,20.26940842951991,3.1908902352312474
"Congressional District 1 (116th Congress), Arizona",60420.0,758861.0,38.3,28850.0,129488.0,457817.0,298899.0,77336.0,234520.0,69600.0,39760.0,859.0,04,01,2021,29.677639433736996,25.873622862572308,-3.804016571164688
"Congressional District 2 (116th Congress), Arizona",59161.0,729613.0,40.8,34935.0,93820.0,441855.0,303934.0,62691.0,223622.0,45979.0,55773.0,821.0,04,02,2021,20.561036034021697,20.62651759921562,0.06548156519392379
"Congressional District 3 (116th Congress), Arizona",56106.0,780580.0,32.6,23780.0,137081.0,503537.0,298078.0,80629.0,256381.0,57888.0,23302.0,797.0,04,03,2021,22.57889625206236,27.049631304557867,4.470735052495506
"Congressional District 4 (116th Congress), Arizona",57895.0,796390.0,48.4,31580.0,93547.0,440416.0,326998.0,70647.0,227057.0,60926.0,34419.0,830.0,04,04,2021,26.832909797980243,21.604719294919235,-5.228190503061008
"Congressional District 5 (116th Congress), Arizona",86858.0,860467.0,39.1,41117.0,60267.0,525248.0,343090.0,66323.0,261265.0,35991.0,58810.0,1282.0,04,05,2021,13.775668382676592,19.33107930863622,5.555410925959627
"Congressional District 6 (116th Congress), Arizona",81090.0,769040.0,42.3,51574.0,74917.0,488615.0,325119.0,61419.0,242872.0,37460.0,70850.0,1183.0,04,06,2021,15.423762311011561,18.89123674716027,3.4674744361487093
"Congressional District 7 (116th Congress), Arizona",52167.0,792891.0,30.3,22514.0,172614.0,527738.0,291967.0,87647.0,268612.0,57435.0,19375.0,886.0,04,07,2021,21.38214227212485,30.019488503837763,8.637346231712915
"Congressional District 8 (116th Congress), Arizona",77153.0,821009.0,42.2,36960.0,68715.0,482486.0,346355.0,66765.0,234500.0,40562.0,52429.0,1217.0,04,08,2021,17.29722814498934,19.27646489873107,1.9792367537417306
"Congressional District 9 (116th Congress), Arizona",67359.0,770352.0,33.8,40135.0,104462.0,539053.0,311566.0,60776.0,278851.0,38968.0,58635.0,1120.0,04,09,2021,13.974488167515986,19.506621390010462,5.532133222494476
"Congressional District 1 (116th Congress), Arkansas",46235.0,717868.0,39.6,25325.0,127220.0,440250.0,289092.0,70465.0,222951.0,65577.0,22150.0,528.0,05,01,2021,29.41318944521442,24.374593554992874,-5.038595890221547
"Congressional District 2 (116th Congress), Arkansas",55764.0,767099.0,37.6,32675.0,109267.0,486547.0,317973.0,67748.0,236670.0,52186.0,43695.0,688.0,05,02,2021,22.05011197025394,21.306211533683676,-0.7439004365702644
"Congressional District 3 (116th Congress), Arkansas",59029.0,831156.0,35.9,32519.0,109339.0,530000.0,329021.0,76055.0,267030.0,53571.0,42058.0,667.0,05,03,2021,20.061790810021346,23.115545816224497,3.0537550062031507
"Congressional District 4 (116th Congress), Arkansas",46300.0,690186.0,41.0,25412.0,122287.0,420097.0,283453.0,73094.0,209340.0,61031.0,21106.0,505.0,05,04,2021,29.15400783414541,25.78699114138852,-3.3670166927568914
"Congressional District 1 (116th Congress), California",61337.0,708366.0,42.0,33968.0,102551.0,429948.0,289606.0,65241.0,221191.0,62118.0,29488.0,928.0,06,01,2021,28.083421115687347,22.52750288322756,-5.555918232459788
"Congressional District 2 (116th Congress), California",86108.0,722327.0,44.5,53708.0,79217.0,442864.0,301390.0,56714.0,224164.0,45811.0,57144.0,1469.0,06,02,2021,20.43637693831302,18.817479013902254,-1.618897924410767
"Congressional District 3 (116th Congress), California",77120.0,757414.0,35.5,34738.0,95158.0,488801.0,300188.0,73756.0,248341.0,60123.0,32409.0,1270.0,06,03,2021,24.2098566084537,24.569936173331378,0.36007956487767956
"Congressional District 4 (116th Congress), California",87963.0,760658.0,44.2,45877.0,63260.0,459974.0,313293.0,65960.0,232684.0,50185.0,46328.0,1338.0,06,04,2021,21.567877464716094,21.05377394324163,-0.514103521474464
