Name,Household Income,Population,Median Age (male),Median age (female),Total Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Degree Obtained,Median Rent,state,congressional district,Year,Male DNW %,Female DNW %
"Congressional District 1 (116th Congress), Alabama",53606,722794,38.9,41.4,40.3,29688,109032,447518,301800,77217,217406,55953,33551,707,1,1,2021,25.7366402,25.58548708
"Congressional District 2 (116th Congress), Alabama",52194,689681,37.5,40.7,39,28319,115310,435275,287843,76285,213201,54707,31270,619,1,2,2021,25.65982336,26.50229465
"Congressional District 3 (116th Congress), Alabama",53090,731482,37.6,39.9,38.8,28451,121511,468161,304646,77313,230635,57921,35868,590,1,3,2021,25.11370781,25.37797969
"Congressional District 4 (116th Congress), Alabama",50931,702255,39.7,42.2,40.9,27056,109196,431360,285978,76826,216170,50766,24306,469,1,4,2021,23.48429477,26.86430425
"Congressional District 5 (116th Congress), Alabama",63180,751690,38.7,40.8,39.8,35350,90719,483297,310448,75739,241259,48404,52340,643,1,5,2021,20.06308573,24.39667835
"Congressional District 6 (116th Congress), Alabama",73619,731505,38.5,40.3,39.5,39473,68710,462766,302796,65063,226653,42317,47571,877,1,6,2021,18.67039042,21.48740406
"Congressional District 7 (116th Congress), Alabama",40677,668268,34.4,38.4,36.5,23898,155341,432695,290274,76336,204251,61294,26134,609,1,7,2021,30.0091554,26.29791163
"Congressional District (at Large) (116th Congress), Alaska",80287,735951,34.6,35.4,35,39236,75016,481977,271261,54983,255877,43700,39503,1153,2,0,2021,17.07851819,20.26940843
"Congressional District 1 (116th Congress), Arizona",60420,758861,37.4,39.4,38.3,28850,129488,457817,298899,77336,234520,69600,39760,859,4,1,2021,29.67763943,25.87362286
"Congressional District 2 (116th Congress), Arizona",59161,729613,38.6,43.3,40.8,34935,93820,441855,303934,62691,223622,45979,55773,821,4,2,2021,20.56103603,20.6265176
"Congressional District 3 (116th Congress), Arizona",56106,780580,32,33.2,32.6,23780,137081,503537,298078,80629,256381,57888,23302,797,4,3,2021,22.57889625,27.0496313
"Congressional District 4 (116th Congress), Arizona",57895,796390,46.7,50.1,48.4,31580,93547,440416,326998,70647,227057,60926,34419,830,4,4,2021,26.8329098,21.60471929
"Congressional District 5 (116th Congress), Arizona",86858,860467,38,40.1,39.1,41117,60267,525248,343090,66323,261265,35991,58810,1282,4,5,2021,13.77566838,19.33107931
"Congressional District 6 (116th Congress), Arizona",81090,769040,40.9,43.6,42.3,51574,74917,488615,325119,61419,242872,37460,70850,1183,4,6,2021,15.42376231,18.89123675
"Congressional District 7 (116th Congress), Arizona",52167,792891,30.2,30.3,30.3,22514,172614,527738,291967,87647,268612,57435,19375,886,4,7,2021,21.38214227,30.0194885
