NAME,Poverty Count
Alabama,769819.0
Alaska,75016.0
Arizona,934911.0
Arkansas,468113.0
California,4741175.0
Colorado,535976.0
Connecticut,351476.0
Delaware,109274.0
District of Columbia,100618.0
Florida,2744612.0
Georgia,1441351.0
Hawaii,133740.0
Idaho,202560.0
Illinois,1483378.0
Indiana,819005.0
Iowa,339695.0
Kansas,327209.0
Kentucky,709140.0
Louisiana,850486.0
Maine,145992.0
Maryland,550074.0
Massachusetts,668780.0
Michigan,1310058.0
Minnesota,512312.0
Mississippi,557111.0
Missouri,762023.0
Montana,131512.0
Nebraska,195455.0
Nevada,388814.0
New Hampshire,98429.0
New Jersey,883896.0
New Mexico,378896.0
New York,2636823.0
North Carolina,1379672.0
North Dakota,80390.0
Ohio,1528963.0
Oklahoma,583853.0
Oregon,498517.0
Pennsylvania,1482811.0
Puerto Rico,1400997.0
Rhode Island,118257.0
South Carolina,718345.0
South Dakota,106291.0
Tennessee,955929.0
Texas,3965117.0
Utah,278486.0
Vermont,64962.0
Virginia,828664.0
Washington,746904.0
West Virginia,295632.0
Wisconsin,610632.0
Wyoming,60482.0
