NAME,B19013_001E,B01003_001E,B01002_001E,B19301_001E,B17001_002E,B23022_001E,B23001_088E,B23022_049E,B23022_002E,B23022_025E,B15003_023E,B25058_001E,state,congressional district,Year
"Congressional District 1 (116th Congress), Alabama",53606.0,722794.0,40.3,29688.0,109032.0,447518.0,301800.0,77217.0,217406.0,55953.0,33551.0,707.0,01,01,2021
"Congressional District 2 (116th Congress), Alabama",52194.0,689681.0,39.0,28319.0,115310.0,435275.0,287843.0,76285.0,213201.0,54707.0,31270.0,619.0,01,02,2021
"Congressional District 3 (116th Congress), Alabama",53090.0,731482.0,38.8,28451.0,121511.0,468161.0,304646.0,77313.0,230635.0,57921.0,35868.0,590.0,01,03,2021
"Congressional District 4 (116th Congress), Alabama",50931.0,702255.0,40.9,27056.0,109196.0,431360.0,285978.0,76826.0,216170.0,50766.0,24306.0,469.0,01,04,2021
"Congressional District 5 (116th Congress), Alabama",63180.0,751690.0,39.8,35350.0,90719.0,483297.0,310448.0,75739.0,241259.0,48404.0,52340.0,643.0,01,05,2021
"Congressional District 6 (116th Congress), Alabama",73619.0,731505.0,39.5,39473.0,68710.0,462766.0,302796.0,65063.0,226653.0,42317.0,47571.0,877.0,01,06,2021
"Congressional District 7 (116th Congress), Alabama",40677.0,668268.0,36.5,23898.0,155341.0,432695.0,290274.0,76336.0,204251.0,61294.0,26134.0,609.0,01,07,2021
"Congressional District (at Large) (116th Congress), Alaska",80287.0,735951.0,35.0,39236.0,75016.0,481977.0,271261.0,54983.0,255877.0,43700.0,39503.0,1153.0,02,00,2021
"Congressional District 1 (116th Congress), Arizona",60420.0,758861.0,38.3,28850.0,129488.0,457817.0,298899.0,77336.0,234520.0,69600.0,39760.0,859.0,04,01,2021
"Congressional District 2 (116th Congress), Arizona",59161.0,729613.0,40.8,34935.0,93820.0,441855.0,303934.0,62691.0,223622.0,45979.0,55773.0,821.0,04,02,2021
"Congressional District 3 (116th Congress), Arizona",56106.0,780580.0,32.6,23780.0,137081.0,503537.0,298078.0,80629.0,256381.0,57888.0,23302.0,797.0,04,03,2021
"Congressional District 4 (116th Congress), Arizona",57895.0,796390.0,48.4,31580.0,93547.0,440416.0,326998.0,70647.0,227057.0,60926.0,34419.0,830.0,04,04,2021
"Congressional District 5 (116th Congress), Arizona",86858.0,860467.0,39.1,41117.0,60267.0,525248.0,343090.0,66323.0,261265.0,35991.0,58810.0,1282.0,04,05,2021
"Congressional District 6 (116th Congress), Arizona",81090.0,769040.0,42.3,51574.0,74917.0,488615.0,325119.0,61419.0,242872.0,37460.0,70850.0,1183.0,04,06,2021
"Congressional District 7 (116th Congress), Arizona",52167.0,792891.0,30.3,22514.0,172614.0,527738.0,291967.0,87647.0,268612.0,57435.0,19375.0,886.0,04,07,2021
"Congressional District 8 (116th Congress), Arizona",77153.0,821009.0,42.2,36960.0,68715.0,482486.0,346355.0,66765.0,234500.0,40562.0,52429.0,1217.0,04,08,2021
"Congressional District 9 (116th Congress), Arizona",67359.0,770352.0,33.8,40135.0,104462.0,539053.0,311566.0,60776.0,278851.0,38968.0,58635.0,1120.0,04,09,2021
"Congressional District 1 (116th Congress), Arkansas",46235.0,717868.0,39.6,25325.0,127220.0,440250.0,289092.0,70465.0,222951.0,65577.0,22150.0,528.0,05,01,2021
